,comment,label
376,where can i find a case on individuals with disabilities education act of 1991 ?,unknown
377,what war did florence nightingale tend the troops in ?,what
378,"who wrote the song , `` stardust '' ?",who
379,how many beatles ' records went #1 ?,unknown
380,who is the only prime minister of canada to serve 22 years but not necessarily consecutively ?,who
381,what is the abbreviation of the company name ` general motors ' ?,what
382,what mountains lie between the arkansas and missouri rivers ?,what
383,who received the will rogers award in 1989 ?,who
384,what is the function of ram ?,what
385,what 's the closest g2 spectrum yellow dwarf to earth ?,what
386,how many equal angles are there in an isosceles triangle ?,unknown
387,what is the fear of cockroaches called ?,what
388,what cbs soap opera was interrupted by the bulletin of john f. kennedy 's assassination ?,what
389,what is the use of a 24-hour clock instead of a 12-hour clock ?,what
390,what was the name of the lawyer who represented randy craft ?,what
391,what united states president had dreamed that he was assassinated ?,what
392,what film did lee marvin win the 1965 best actor oscar for ?,what
393,where is basque country located ?,unknown
394,what product does `` mrs. olsen '' promote ?,what
395,what time of day did emperor hirohito die ?,when
396,what is dry ice ?,what
397,what 's the most powerful card in euchre ?,what
398,what does `` intractable plantar keratoma '' mean ?,what
399,how many years did it take james joyce to write ulysses ?,unknown
400,what crop failure caused the irish famine ?,what
401,what south korean city is served by kimpo international airport ?,what
402,how many types of dogs ' tails are there - three ?,unknown
403,what is the longest-running television series ?,what
404,what predators exist on antarctica ?,what
405,what is the difference between a generator and an alternator ?,what
406,how is energy created ?,unknown
407,what beer advertised that it had `` three rings '' ?,what
408,what is the quantity of american soldiers still unaccounted for from the vietnam war ?,what
409,what golfing accessory was patented by george grant on december 12 ?,what
410,what are the different types of plastic ?,what
411,how is it correct to say ` qigong ' ?,unknown
412,what was the highest mountain on earth before mount everest was discovered ?,what
413,"where was the ligurian republic , 1797-185 , ?",unknown
414,what country 's people are the top television watchers ?,what
415,when was the women 's suffrage amendment ratified ?,when
416,what polynesian people inhabit new zealand ?,what
417,what movie tour of the roman empire features the admonition : `` row well and live '' ?,what
418,what nevada center has been dubbed the biggest little city in the world ?,what
419,"what president lived at 219 north delaware street , independence , missouri ?",what
420,give a reason for american indians oftentimes dropping out of school . ?,unknown
421,where must a soccer goalie stand to be permitted to handle the ball ?,unknown
422,what is the difference between classical conditioning and operant conditioning ?,what
423,in what u.s. state was the first woman governor elected ?,unknown
424,what are some interesting facts and information about dogsledding ?,what
425,what year did hitler die ?,when
426,what famous model was married to billy joel ?,what
427,what kind of animal is babar ?,what
428,what is jane goodall known for ?,what
429,what killed bob marley ?,what
430,how much money are dumbo 's ears insured for ?,unknown
431,who danced into stardom with fred astaire in 1941 's you 'll never get rich ?,who
432,who is stein eriksen ?,who
433,what does the name billie mean ?,what
434,who is the fastest swimmer in the world ?,who
435,what is the highest peak in africa ?,what
436,where is procter & gamble headquartered in the u.s. ?,unknown
437,what desert has been called the garden of allah ?,what
438,what do bicornate animals have two of ?,what
439,what function does a community 's water tower serve ?,what
440,what is a fear of weakness ?,what
441,how many miles is it to ohio from north carolina ?,unknown
442,how much snow equals an inch of rain ?,unknown
443,what does g.m.t. stand for ?,what
444,what does inuit and eskimo mean ?,what
445,what song served as the closing theme of the johnny cash show ?,what
446,what field sport did dentist william beers promote and write a standard book of rules for ?,what
447,how do i tie dye clothes ?,unknown
448,when does the average teenager first have intercourse ?,when
449,why doesn 't www.answers.com have any answers to my questions ?,unknown
450,what actor 's autobiography is titled all my yesterdays ?,what
451,what russian master spy lived in the u.s. under the name emil goldfus ?,what
452,where 's the 19th hole on a golf course ?,unknown
453,what 's nature 's purpose for tornadoes ?,what
454,who played the original charlie 's angels ?,who
455,where can i find a person 's address from a telephone number ?,unknown
456,"what english word comes from the old french covrefeu , meaning cover fire ?",what
457,what musical instrument did prewitt play in james jones 's from here to eternity ?,what
458,where did sarge steel get his metal hand ?,unknown
459,what makes popcorn pop ?,what
460,who wrote the night of the iguana ?,who
461,where does your hair grow the fastest ?,unknown
462,what country did king gustav v reign over from 197 to 195 ?,what
463,who painted mother and child ?,who
464,what is the speed of the mississippi river ?,what
465,in what area of the world was the six day war fought ?,what
466,what is the brightest star visible from earth ?,what
467,what film marked robert redford 's directorial debut ?,what
468,what was mao 's second name ?,what
469,what film or films has jude law appeared in ?,what
470,where do hyenas live ?,unknown
471,who is the `` queen mother '' ?,who
472,what 's the most commonly-spoken language in belgium ?,what
473,who has more dna - a man or a woman ?,who
474,what are maid-rites ?,what
475,"what children 's tale contains the line : `` come , cinderslut , and hold this skein of wool for me '' ?",what
476,what level of government or governmental agency is responsible for dealing with racism ?,what
477,how many referees work a soccer game ?,unknown
478,what cocktail do you concoct with whisky and sweet vermouth ?,what
479,how do you say `` fresh '' in spanish ?,unknown
480,what do bee hives do in cranberry bogs ?,what
481,what caused the lynmouth floods ?,what
482,when is the tulip festival in michigan ?,what
483,"who came up with the name , el nino ?",who
484,what movie did madilyn kahn star in with gene wilder ?,what
485,what type of bridge is the golden gate bridge ?,what
486,what dictator has the nickname `` el maximo '' ?,what
487,what stereo manufacturer is `` slightly ahead of its time '' ?,what
488,what u.s. city is the queen of the pacific ?,what
489,what tv sitcom character had the maiden name ethel potter ?,what
490,what was the first lifesaver flavor ?,what
491,who kept the most famous diary in the english language ?,who
492,where can i find out the top 1 singles ?,unknown
493,how many degrees cooler is the inside of a cucumber than the air outside ?,unknown
494,what spanish artist painted crucifixion ?,what
495,what is the jewish bible called ?,what
496,why is the grass green ?,unknown
497,what is a firewall ?,what
498,what spy novelist served as moscow correspondent for reuter and the times of london ?,what
499,which oil company almost picked a word that meant `` stalled car '' in japanese as its new international name ?,unknown
500,how long does it take for spider-man 's web to evaporate ?,unknown
501,who was randy steven craft 's lawyer ?,who
502,what was known as the spice island ?,what
503,who was the first host of person to person ?,what
504,name the ranger who was always after yogi bear . ?,unknown
505,"what deck of cards includes the wheel of fortune , the lovers , and death ?",what
506,what does the statue of liberty wear on her feet ?,what
507,who is the superstar in rent-a-cars ?,who
508,mccarren airport is located in what city ?,what
509,"what household facility contains a float ball , ballcock , and overflow tube ?",what
510,what was the name of betty boop 's dog ?,what
511,what fraction of a beaver 's life is spent swimming ?,what
512,what was the bridge of san luis rey made of ?,what
513,what do economists do ?,what
514,what country has the largest sheep population ?,what
515,"what do i need to do to take my dog with me to live in dominica , west indies for a year ?",what
516,what country is the world 's largest importer of cognac ?,what
517,how many years is johnnie walker black label aged ?,unknown
518,what does sids stand for ?,what
519,what is grenada 's main commodity export ?,what
520,"how much would a black-and-white 1-cent stamp be worth , thomas jefferson on it , ?",unknown
521,what makes a clitoris sensitive ?,what
522,"what country has the most time zones , with 11 ?",what
523,what `` magic '' does mandrake employ ?,what
524,who is the president of stanford university ?,who
525,whose first presidential order was : `` let 's get this goddamn thing airborne '' ?,unknown
526,"what was introduced commercially by bayer a.g. of leverkusen , in 1899 ?",what
527,what city is logan airport in ?,what
528,what is a nanometer ?,what
529,how many innings are there in a regulation softball game ?,unknown
530,when did cnn go on the air ?,when
531,what is the largest city on the great lakes ?,what
532,what is the telephone number for the university of kentucky ?,what
533,who invented baseball ?,who
534,how many wives did brigham young have ?,unknown
535,what product on the market is good for hiding facial scars ?,what
536,how long is the coney island boardwalk ?,unknown
537,what city gained renown for its pea-soup fogs ?,what
538,what does `` janelle '' mean ?,what
539,how do i get another city 's newspaper ?,unknown
540,name a movie about the sioux indians starring kevin costner . ?,unknown
541,"who was shot in the back during a poker game in deadwood , the dakota territory ?",who
542,what are the distinct physical characterstics of the arabian horse ?,what
543,what is a fear of thunder ?,what
544,what animal has killed the most people ?,what
545,how many colleges are in wyoming ?,unknown
546,what russian seaport has a name meaning `` lord of the east '' ?,what
547,where can stocks be traded on-line ?,unknown
548,when was the battle of hastings ?,when
549,what kind of file has the extension .dbf ?,what
550,when did muhammad live ?,when
551,"what then-derogatory term was applied to the painters monet , sisley , pissarro , renoir and degas ?",what
552,what is a wop ?,what
553,where do rocks come from ?,unknown
554,how do i stop background noise in a car stereo ?,unknown
555,where do people mountain climb in nepal ?,unknown
556,what is the best college in the country ?,what
557,what is viscosity ?,what
558,what was the name of the sitcom that alyssa milano starred in with tony danza ?,what
559,what are the nordic nations ?,what
560,where on the internet can i get information about the fifth amendment on the american bill of rights ?,unknown
561,what u.s. state borders illinois to the north ?,what
562,name a film in which jude law acted . ?,unknown
563,what is the temperature for baking peachy oat muffins ?,what
564,what is a fear of bees ?,what
565,what vladimir nabokov novel features professor humbert in love with a 12-year-old girl ?,what
566,what is a green bog ?,what
567,where did the myth of santa claus originate ?,unknown
568,what does a chairbound basophobic fear ?,what
569,what city is served by logan international airport ?,what
570,what wrestling star became `` the incredible hulk '' ?,what
571,what attracts tourists to reims ?,what
572,what game do steve mcqueen and edward g. robinson play in the cincinnati kid ?,what
573,what fastener did whitcomb judson patent in 1893 ?,what
574,what 's an auberge in france ?,what
575,who was the star of the 1965 broadway hit golden boy ?,what
576,where is procter & gamble based in the u.s. ?,unknown
577,what army was founded by william booth and his wife catherine ?,what
578,what does ribavirin consist of ?,what
579,name the soft drink that is `` number one in the sun . '' ?,unknown
580,what is the web address of the list of e-mail addresses of members of the house of representatives ?,what
581,what was her real name ?,what
582,why are the ears your center of balance ?,unknown
583,who invented the toothbrush ?,who
584,what was the name of that popular song the creeps sang ?,what
585,where is the abominable snowman said to wander ?,unknown
586,what is a fear of being alone ?,what
587,how many dots make up the symbol for `` because '' ?,unknown
588,what do you get by adding lactobacillus bulgaricus to milk ?,what
589,"when reading classified ads , what does eenty : other stand for ?",when
590,how many hearts does an octopus have ?,unknown
591,what plant has the largest seed ?,what
592,what was the only country you were allowed to drive into israel from in 1979 ?,what
593,what 's approaching when a cyclist shouts : `` oil '' ?,what
594,"what baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",what
595,what kind of sport is often associated with hooligans ?,what
596,what video game hero do some of his fans call chomper ?,what
597,how many holes are there in a tenpin bowling ball ?,unknown
598,what is the longest word in the english language ?,what
599,in what city or state do the most gay men live in ?,what
600,"what tv comediennes 's characters include former movie star nora desmond , secretary mrs. wiggins and a housewife named eunice ?",what
601,what is `` the bear of beers '' ?,what
602,name the operating system that runs on ibm-compatible machines . ?,unknown
603,what does the name `` justin '' mean ?,what
604,what percentage of the body is muscle ?,what
605,what color of dry wine should be served with veal roasts and chops ?,what
606,what is a golf ball made of ?,what
607,what is the amish religion ?,what
608,what does an average daycare provider get paid in new england ?,what
609,what was the name of the 187s irish terrorist group in pennsylvania mining areas ?,what
610,who played the ringo kid in the 1939 film stagecoach ?,who
611,who died 1 feet from where john f. kennedy did ?,who
612,what is the `` coppertop '' battery ?,what
613,what sign is the water carrier the zodiacal symbol for ?,what
614,what animals do you find in the stock market ?,what
615,what is color ?,what
616,when is the site www.questions.com going to open ?,when
617,what did shostakovich write for rostropovich ?,what
618,what first name was nipsy russell given at birth ?,what
619,how can i get some free technical information on electric vehicle ?,unknown
620,who is the youngest of the beatles ?,who
621,how did shipyard inspector james j. kilroy designate equipment as being satisfactory ?,unknown
622,what is a jellicle cat ?,what
623,where can i find the best free evidence for debate about russia ?,unknown
624,what is bill gates of microsoft e-mail address ?,what
625,what is the second hardest substance ?,what
626,why did several san diego schools stop serving apples to students ?,unknown
627,what russian city boasts the hermitage museum ?,what
628,when is bastille day ?,when
629,what makes a tornado turn ?,what
630,how many shots can a stock m16 hold ?,unknown
631,what two colors are you blind to if you suffer from protanopia ?,what
